timestamp,x_data,x_gyro,y_data,y_gyro,z_data,z_gyro,temp,battery_voltage
1000,1,2,3,4,5,6,7,4100
1020,1,2,3,4,5,6,7,4100
1040,1,2,3,4,5,6,7,4100
1060,1,2,3,4,5,6,7,4100
1080,1,2,3,4,5,6,7,4100
1100,1,2,3,4,5,6,7,4100
1120,1,2,3,4,5,6,7,4100
1140,1,2,3,4,5,6,7,4100
1160,1,2,3,4,5,6,7,4100
1180,1,2,3,4,5,6,7,4100
1200,1,2,3,4,5,6,7,4100
1220,1,2,3,4,5,6,7,4100
1240,1,2,3,4,5,6,7,4100
1260,1,2,3,4,5,6,7,4100
1280,1,2,3,4,5,6,7,4100
1300,1,2,3,4,5,6,7,4100
1320,1,2,3,4,5,6,7,4100
1340,1,2,3,4,5,6,7,4100
1360,1,2,3,4,5,6,7,4100
1380,1,2,3,4,5,6,7,4100
1400,1,2,3,4,5,6,7,4100
1420,1,2,3,4,5,6,7,4100
1440,1,2,3,4,5,6,7,4100
1460,1,2,3,4,5,6,7,4100
1480,1,2,3,4,5,6,7,4100
1500,1,2,3,4,5,6,7,4100
1520,1,2,3,4,5,6,7,4100
1540,1,2,3,4,5,6,7,4100
1560,1,2,3,4,5,6,7,4100
1580,1,2,3,4,5,6,7,4100
1600,1,2,3,4,5,6,7,4100
1620,1,2,3,4,5,6,7,4100
1640,1,2,3,4,5,6,7,4100
1660,1,2,3,4,5,6,7,4100
1680,1,2,3,4,5,6,7,4100
1700,1,2,3,4,5,6,7,4100
1720,1,2,3,4,5,6,7,4100
1740,1,2,3,4,5,6,7,4100
1760,1,2,3,4,5,6,7,4100
1780,1,2,3,4,5,6,7,4100
1800,1,2,3,4,5,6,7,4100
1820,1,2,3,4,5,6,7,4100
1840,1,2,3,4,5,6,7,4100
1860,1,2,3,4,5,6,7,4100
1880,1,2,3,4,5,6,7,4100
1900,1,2,3,4,5,6,7,4100
1920,1,2,3,4,5,6,7,4100
1940,1,2,3,4,5,6,7,4100
1960,1,2,3,4,5,6,7,4100
1980,1,2,3,4,5,6,7,4100
2000,1,2,3,4,5,6,7,4100
2020,1,2,3,4,5,6,7,4100
2040,1,2,3,4,5,6,7,4100
2060,1,2,3,4,5,6,7,4100
2080,1,2,3,4,5,6,7,4100
2100,1,2,3,4,5,6,7,4100
2120,1,2,3,4,5,6,7,4100
2140,1,2,3,4,5,6,7,4100
2160,1,2,3,4,5,6,7,4100
2180,1,2,3,4,5,6,7,4100
2200,1,2,3,4,5,6,7,4100
2220,1,2,3,4,5,6,7,4100
2240,1,2,3,4,5,6,7,4100
2260,1,2,3,4,5,6,7,4100
2280,1,2,3,4,5,6,7,4100
2300,1,2,3,4,5,6,7,4100
2320,1,2,3,4,5,6,7,4100
2340,1,2,3,4,5,6,7,4100
2360,1,2,3,4,5,6,7,4100
2380,1,2,3,4,5,6,7,4100
2400,1,2,3,4,5,6,7,4100
2420,1,2,3,4,5,6,7,4100
2440,1,2,3,4,5,6,7,4100
2460,1,2,3,4,5,6,7,4100
2480,1,2,3,4,5,6,7,4100
2500,1,2,3,4,5,6,7,4100
2520,1,2,3,4,5,6,7,4100
2540,1,2,3,4,5,6,7,4100
2560,1,2,3,4,5,6,7,4100
2580,1,2,3,4,5,6,7,4100
